1;Ropa para dama;1;ropa-para-dama;0000-00-00 00:00:00
2;Ropa para hombre;1;ropa-para-hombre;0000-00-00 00:00:00
3;Ropa deportiva;1;ropa-deportiva;0000-00-00 00:00:00
4;Ropa infantil;1;ropa-infantil;0000-00-00 00:00:00
5;Calzado para dama;2;calzado-para-dama;0000-00-00 00:00:00
6;Calzado para hombre;2;calzado-para-hombre;0000-00-00 00:00:00
7;Calzado deportivo;2;calzado-deportivo;0000-00-00 00:00:00
8;Calzado infantil;2;calzado-infantil;0000-00-00 00:00:00
9;Bolsos;3;bolsos;0000-00-00 00:00:00
10;Relojes;3;relojes;0000-00-00 00:00:00
11;Pulseras;3;pulseras;0000-00-00 00:00:00
12;Collares;3;collares;0000-00-00 00:00:00
13;Lentes de sol;3;lentes-de-sol;0000-00-00 00:00:00
14;Teléfonos Movil;4;telefonos-movil;0000-00-00 00:00:00
15;Tabletas Electrónicas;4;tabletas-electronicas;0000-00-00 00:00:00
16;Computadoras;4;computadoras;0000-00-00 00:00:00
17;Auriculares;4;auriculares;0000-00-00 00:00:00
18;Desarrollo Web;5;desarrollo-web;0000-00-00 00:00:00
19;Aplicaciones Móviles;5;aplicaciones-moviles;0000-00-00 00:00:00
20;Diseño Gráfico;5;diseno-grafico;0000-00-00 00:00:00
21;Marketing Digital;5;marketing-digital;0000-00-00 00:00:00
